Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,0.305180,0.000000,0.000000,0.002441,-0.000977,0.999405
1,-0.183108,-0.061036,0.000000,-0.001343,0.003540,0.991226
2,0.000000,0.061036,0.000000,0.000488,-0.000855,1.002335
3,0.122072,0.000000,0.000000,0.006104,0.003296,0.998795
4,-0.122072,-0.061036,0.000000,0.006836,-0.003662,0.997696
5,0.122072,0.000000,0.000000,0.000732,-0.000610,1.002213
6,-0.061036,0.000000,0.000000,0.003174,0.000000,0.992691
7,0.000000,0.122072,-0.122072,-0.001587,0.001221,0.994156
8,-0.427253,-0.244144,0.000000,-0.002930,0.001343,0.997086
9,-0.488289,-0.366217,0.000000,0.001343,-0.002197,1.005142
10,-0.061036,-0.244144,-0.183108,0.008545,0.004883,0.998550
11,-0.488289,-0.183108,-0.122072,-0.000244,-0.001831,0.999771
12,-0.183108,-0.244144,-0.122072,0.004517,0.001343,1.001724
13,-0.427253,-0.244144,-0.122072,0.004028,-0.001099,0.997208
14,-0.061036,-0.183108,-0.122072,0.002808,-0.003174,0.995499
15,0.061036,0.061036,-0.122072,-0.001343,-0.000366,1.003677
16,0.000000,0.000000,0.000000,0.006348,0.005859,1.000992
17,0.000000,0.000000,0.000000,0.004395,0.004883,0.996353
18,-0.549325,-0.061036,0.000000,0.002930,-0.001221,0.996963
19,-0.305180,-0.183108,0.000000,-0.001221,-0.002441,0.994522
20,0.000000,-0.244144,0.000000,0.005249,-0.001465,0.999283
21,-0.366217,-0.366217,0.000000,0.003296,0.004150,0.996963
22,-0.366217,-0.305180,-0.122072,-0.003052,-0.006226,1.003433
23,0.183108,-0.183108,0.000000,-0.000977,0.004639,0.989517
24,-0.427253,-0.427253,0.000000,0.001953,-0.000610,1.006363
25,-0.305180,-0.244144,-0.122072,0.002441,0.000122,1.004654
26,-0.366217,-0.488289,0.000000,0.009033,-0.000610,0.998917
27,0.122072,-0.244144,0.000000,0.008301,0.004395,1.001968
28,-0.671397,-0.061036,-0.183108,-0.004761,0.004028,0.993790
29,-0.366217,-0.427253,0.000000,0.001099,-0.005005,1.003799
30,0.183108,-0.183108,-0.183108,0.001343,0.002930,0.997452
31,-0.366217,-0.366217,0.000000,0.008667,0.005249,0.996719
32,-0.244144,-0.061036,-0.244144,0.006836,-0.000610,0.993423
33,-0.488289,-0.244144,0.000000,0.005615,-0.010376,1.002457
34,0.488289,0.122072,0.000000,0.002319,0.002686,1.000015
35,-0.183108,0.000000,0.000000,-0.002319,0.000977,0.999893
36,0.366217,0.122072,0.000000,0.003052,0.001953,1.001846
37,0.122072,0.183108,0.000000,0.002441,0.003052,0.995499
38,0.000000,0.061036,0.000000,-0.000855,0.001587,1.002579
39,-0.305180,-0.244144,0.000000,0.005615,-0.000488,0.995987
40,-0.061036,-0.122072,-0.122072,0.002319,-0.000366,1.002579
41,0.122072,0.000000,0.000000,0.004395,-0.000977,0.992325
42,0.000000,0.000000,0.000000,0.004883,0.000610,0.996231
43,0.061036,0.061036,0.000000,0.000122,0.004395,0.997696
44,-0.061036,0.061036,-0.183108,0.005005,-0.000855,0.995499
45,0.244144,0.061036,-0.183108,0.005005,0.004761,0.989517
46,-0.366217,-0.061036,0.000000,-0.000977,0.000610,0.996353
47,0.000000,0.000000,-0.122072,0.007446,-0.008301,1.004898
48,0.000000,0.061036,0.000000,-0.002564,0.000000,0.996475
49,0.000000,0.000000,-0.122072,0.002808,-0.001099,0.991104
50,-0.183108,-0.061036,-0.183108,0.002808,-0.000732,0.993301
51,0.122072,0.183108,0.000000,0.007080,0.000855,1.000259
52,0.000000,0.122072,0.000000,0.000977,-0.000122,0.997086
53,-0.183108,-0.061036,0.000000,0.004639,-0.002441,1.003311
54,0.122072,0.000000,0.061036,0.000977,-0.000244,1.004532
55,0.000000,0.061036,-0.122072,0.004273,0.000366,0.995377
