Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
1813,3.479057,-0.671397,-1.281758,0.008545,-0.045045,1.027237
1814,3.051804,1.342794,0.671397,0.046632,-0.033692,1.045792
1815,5.432212,3.051804,1.464866,-0.001709,-0.048341,1.015763
1816,11.169604,2.685588,0.671397,0.004639,0.044312,0.920790
1817,-0.488289,0.000000,0.366217,-0.022827,0.024537,0.940566
1818,-0.793469,-1.953155,-0.915541,-0.016968,0.027100,0.965347
1819,-6.347753,-4.516670,-1.464866,-0.020386,-0.005249,0.980240
1820,-4.455634,-5.859464,-2.014191,0.001709,-0.021973,1.016739
1821,-3.173877,-6.286717,-2.563516,0.020508,-0.025757,1.024186
1822,-0.976577,-3.906310,-1.831083,0.072389,-0.064210,1.084733
1823,5.371176,1.770047,0.427253,0.025635,-0.044068,1.024796
1824,6.469825,3.356985,2.014191,0.026856,0.000610,0.987930
1825,2.868696,3.540093,1.770047,0.008301,-0.015259,1.011856
1826,6.103609,2.258335,0.305180,0.015381,-0.030152,1.063005
1827,12.085145,2.380407,-0.854505,0.020020,-0.015015,1.027237
1828,11.718929,2.807660,-0.976577,0.005737,-0.002564,1.023453
1829,12.634470,3.479057,-1.220722,0.021851,0.009400,0.991348
1830,10.498207,4.699779,-0.915541,-0.000244,0.044556,0.949844
1831,4.333562,3.356985,-1.159686,-0.018067,0.036622,0.929946
1832,-2.075227,1.281758,-0.854505,0.016480,-0.035035,1.040787
1833,6.713970,3.540093,-0.671397,0.011109,-0.019776,1.016617
1834,5.920500,4.211490,0.427253,-0.001099,0.020752,0.946304
1835,5.615320,2.014191,-0.671397,-0.102541,0.107179,0.798474
1836,-15.442130,-7.873655,-0.915541,-0.042603,0.046143,0.948989
1837,-13.550011,-9.216449,-2.258335,0.011109,-0.032959,1.025772
1838,-8.972305,-8.911269,-2.441444,0.008667,-0.032837,1.048112
1839,-5.493248,-7.019150,-1.831083,0.046387,-0.049928,1.093156
1840,1.709010,-2.807660,-1.098650,0.015991,0.013916,0.995865
1841,-3.540093,-2.868696,-0.488289,0.002930,0.012940,0.974868
