Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,0.061036,0.0,-0.183108,-0.0008550000000000001,0.0058590000000000005,0.996719
4,0.183108,0.183108,-0.183108,0.0035399999999999997,0.0051270000000000005,0.992325
8,0.122072,-0.122072,-0.122072,0.002441,0.0037840000000000005,0.9979399999999999
12,-0.061036,-0.183108,0.0,0.0,0.009276999999999999,0.9909819999999999
16,-0.30518,-0.061036,-0.122072,0.004883,0.0058590000000000005,0.9908600000000001
20,-0.061036,0.061036,-0.122072,-0.005737,0.004761,1.008194
24,-0.183108,-0.244144,-0.183108,-0.002686,0.0023190000000000003,0.9956209999999999
28,0.061036,-0.122072,0.0,-0.000366,0.005737,0.9991610000000001
32,-0.244144,-0.30518,0.0,0.000732,0.00415,0.991714
36,-0.122072,-0.30518,-0.122072,0.0015869999999999999,0.003418,0.996597
40,0.6103609999999999,-0.183108,0.0,0.003418,0.009033,0.992447
44,-0.366217,-0.183108,0.0,-0.001831,0.001831,1.0112459999999999
48,-0.30518,-0.30518,-0.122072,-0.003906,0.0037840000000000005,1.002213
52,-0.061036,-0.183108,0.0,0.006592,0.002564,0.9903719999999999
56,0.061036,-0.122072,-0.122072,0.0021969999999999997,0.0028079999999999997,0.9953770000000001
60,-0.061036,-0.30518,-0.183108,-0.003662,0.004028,0.995743
64,1.8921189999999999,0.427253,-0.366217,-0.005371,0.006104,0.985977
68,0.30518,-0.122072,-0.244144,0.008667,0.0035399999999999997,1.00441
72,-0.122072,-0.244144,-0.30518,0.0028079999999999997,0.002075,1.005875
76,0.427253,-0.30518,0.0,0.001831,0.010131999999999999,0.9942780000000001
80,-0.30518,-0.061036,0.0,0.005493,0.00415,1.00441
84,0.0,0.0,-0.183108,-0.003052,0.000977,0.991836
88,0.48828900000000003,-0.30518,0.0,0.0031739999999999997,0.0031739999999999997,0.992813
92,0.0,0.0,0.0,-0.004517,0.009522,0.9944
96,0.366217,0.0,-0.122072,-0.007812999999999999,0.000488,1.013199
100,0.0,0.0,-0.183108,0.004761,0.00647,0.999649
104,2.563516,1.2207219999999999,0.122072,0.01355,0.001953,1.0188139999999999
