Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,-0.244144,-0.427253,-0.122072,-0.005249,-0.006104,0.993301
1,-0.488289,-0.549325,0.061036,-0.003906,-0.009766,0.997574
2,-0.061036,-0.427253,0.000000,-0.009400,-0.004883,0.999039
3,-0.305180,-0.671397,0.000000,-0.002319,-0.009766,1.001846
4,-0.122072,-0.610361,0.000000,-0.004395,-0.002686,1.003311
5,0.061036,-0.427253,0.000000,-0.006348,-0.000244,0.998917
6,-0.183108,-0.732433,-0.244144,-0.006958,-0.003906,0.991836
7,-0.854505,-0.854505,0.000000,-0.008057,-0.000244,0.983291
8,-1.647974,-0.915541,0.000000,-0.006714,-0.003540,0.993790
9,-1.831083,-0.854505,-0.122072,0.006470,-0.011597,1.003922
10,-1.220722,-0.488289,0.000000,-0.004517,-0.005371,0.998184
11,-1.403830,-0.427253,0.000000,-0.004883,-0.010498,1.005142
12,-0.549325,-0.366217,0.000000,-0.003418,-0.004761,1.004288
13,-0.854505,-0.366217,0.000000,-0.004150,-0.007691,0.999771
14,-0.488289,-0.427253,0.000000,-0.002319,-0.006470,0.999283
15,-0.549325,-0.488289,-0.122072,-0.002197,-0.007324,1.002213
16,-0.427253,-0.427253,-0.183108,-0.004883,-0.005371,1.003067
17,-0.610361,-0.610361,0.000000,-0.003296,-0.006958,1.010513
18,-0.366217,-0.366217,0.000000,-0.003174,-0.009400,1.002701
19,-0.488289,-0.488289,0.000000,-0.004395,-0.009155,1.004654
20,-0.183108,-0.305180,0.000000,-0.000610,-0.004395,1.003799
21,-0.549325,-0.366217,0.000000,-0.004273,-0.010620,0.999893
22,-0.183108,-0.366217,0.000000,-0.003174,-0.001343,1.001114
23,-0.549325,-0.488289,-0.122072,-0.006836,-0.005249,0.997208
24,-0.732433,-0.549325,-0.122072,-0.000488,-0.008179,0.998062
25,-0.732433,-0.610361,0.000000,0.000366,-0.005005,1.004410
26,-0.671397,-0.549325,-0.183108,-0.001831,-0.001099,1.008438
27,-0.427253,-0.427253,0.000000,-0.006348,-0.004150,1.001236
28,-0.610361,-0.427253,0.000000,-0.003540,-0.003662,1.004166
29,-0.183108,-0.305180,0.000000,-0.005737,-0.003418,1.005631
30,-0.305180,-0.244144,0.061036,-0.008301,-0.005371,0.999649
31,-0.366217,-0.244144,0.000000,-0.005859,-0.009155,1.003555
32,-0.061036,-0.244144,0.061036,-0.009033,-0.003174,1.006363
33,-0.366217,-0.549325,0.061036,-0.007568,-0.006714,0.998184
34,-0.061036,-0.488289,0.000000,-0.004395,-0.008545,0.998672
35,-0.366217,-0.732433,0.183108,-0.020874,-0.012696,0.999283
36,0.915541,-0.732433,0.000000,0.030518,0.010986,0.972305
37,-1.831083,-0.915541,0.000000,-0.014527,0.003296,1.001846
38,-1.220722,-0.976577,0.000000,0.009400,-0.006714,1.036881
39,0.183108,-0.244144,-0.183108,-0.006348,0.001465,0.976699
40,-1.525902,-0.915541,0.061036,-0.000366,-0.008179,1.003677
41,0.000000,-0.671397,-0.122072,-0.000244,-0.006836,0.999039
42,-0.854505,-0.610361,0.000000,-0.005371,-0.003052,1.007584
43,-0.366217,-0.671397,0.000000,-0.000855,-0.011597,1.001968
44,-0.122072,-0.488289,0.000000,-0.007324,-0.007080,0.996719
45,-0.305180,-0.793469,0.061036,-0.003418,-0.005493,1.000015
46,-0.183108,-0.549325,0.000000,-0.006714,-0.007813,1.002579
47,-0.244144,-0.671397,0.061036,-0.003662,-0.008301,1.001846
48,0.915541,-0.427253,0.000000,-0.014649,-0.004883,0.996841
49,0.061036,-0.976577,0.061036,0.013184,-0.001709,1.010758
50,0.061036,-0.549325,0.000000,-0.013184,-0.015625,0.995987
51,0.854505,-0.732433,0.122072,-0.008179,-0.004028,1.004166
52,1.281758,-0.305180,0.000000,-0.008057,-0.005859,0.996353
53,0.976577,-0.671397,0.122072,-0.011231,-0.011353,1.024063
54,3.662165,-0.671397,0.061036,0.015503,0.003052,0.997696
55,1.464866,-0.427253,0.061036,-0.013794,-0.002319,1.009171
56,3.906310,0.000000,0.000000,-0.010742,-0.022583,0.967666
57,4.150454,0.061036,0.122072,-0.004150,0.006348,1.029068
58,3.662165,-0.366217,0.488289,-0.012696,0.000732,1.013443
59,4.821851,-0.610361,0.061036,-0.001953,0.008667,0.978531
60,2.441444,-0.793469,0.244144,-0.009766,0.001465,0.990249
61,3.356985,-0.854505,0.061036,-0.006958,0.010010,0.989639
62,2.014191,-1.220722,0.061036,-0.000122,0.005371,0.987808
63,1.953155,-1.281758,0.183108,-0.000122,-0.002686,1.015274
64,2.929732,-0.915541,0.183108,0.002930,0.001221,1.010391
65,3.356985,-0.610361,0.305180,-0.005371,0.009766,1.008682
66,3.295949,-0.549325,0.244144,-0.015381,0.008667,0.981582
67,2.319371,-1.098650,0.366217,-0.011109,0.007691,1.003555
68,2.380407,-1.159686,0.305180,-0.004028,0.010742,1.002579
69,2.197299,-1.098650,0.244144,-0.007568,0.012940,0.985855
70,1.770047,-1.586938,0.244144,-0.002319,0.012818,0.995621
71,1.770047,-1.586938,0.305180,-0.008911,0.013916,0.988296
72,1.647974,-1.831083,0.244144,-0.006958,0.020264,0.988174
73,0.488289,-2.197299,0.122072,-0.010254,0.012451,0.979629
74,0.366217,-2.258335,0.000000,0.002930,0.004883,1.010880
75,0.793469,-2.258335,0.000000,0.003540,0.003418,1.005386
76,0.854505,-2.014191,-0.183108,0.008667,0.002686,1.004044
77,1.525902,-1.464866,-0.183108,-0.007446,0.002441,1.006851
78,2.319371,-1.403830,-0.183108,-0.000855,0.010254,1.009293
79,1.525902,-1.159686,0.000000,-0.004150,0.014771,1.001846
80,2.258335,-1.037613,0.000000,-0.002075,0.017334,0.987442
81,0.854505,-1.464866,0.183108,0.003174,0.007202,0.997208
82,1.403830,-1.220722,0.061036,-0.001221,0.018189,0.995743
83,1.281758,-1.220722,0.061036,0.000244,0.021485,0.989883
