Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
90,-0.793469,0.244144,-0.366217,0.084938,0.022730,9.777420
91,-0.793469,0.244144,-0.366217,0.084938,0.022730,9.777420
92,-1.159686,0.366217,-0.488289,0.071778,0.026319,9.792972
93,-1.159686,0.366217,-0.488289,0.071778,0.026319,9.792972
94,-1.403830,0.549325,-0.549325,0.071778,0.000000,9.800150
95,-1.403830,0.549325,-0.549325,0.071778,0.000000,9.800150
96,-1.709010,0.610361,-0.610361,0.056226,-0.043067,9.777420
97,-1.709010,0.610361,-0.610361,0.056226,-0.043067,9.777420
98,-1.953155,0.732433,-0.671397,0.021534,-0.056226,9.788186
99,-1.953155,0.732433,-0.671397,0.021534,-0.056226,9.788186
100,-1.037613,-0.244144,-0.427253,0.023926,-0.003589,9.820487
101,-1.037613,-0.244144,-0.427253,0.023926,-0.003589,9.820487
102,-1.037613,-0.488289,-0.610361,0.045460,0.017945,9.801346
103,-1.037613,-0.488289,-0.610361,0.045460,0.017945,9.801346
104,-1.342794,-0.671397,-0.793469,0.032300,-0.004785,9.763064
105,-1.342794,-0.671397,-0.793469,0.032300,-0.004785,9.763064
106,-1.953155,-0.671397,-0.915541,0.035889,-0.022730,9.770242
107,-1.953155,-0.671397,-0.915541,0.035889,-0.022730,9.770242
108,-2.441444,-0.610361,-1.098650,0.010767,-0.052638,9.794168
109,-1.770047,-1.159686,-0.732433,0.049049,-0.143557,9.797757
110,2.319371,-1.403830,1.159686,0.025122,-0.083742,9.836039
111,2.319371,-1.403830,1.159686,0.025122,-0.083742,9.836039
112,2.380407,-1.586938,1.159686,0.057423,-0.055030,9.808524
113,2.380407,-1.586938,1.159686,0.057423,-0.055030,9.808524
114,2.014191,-1.586938,1.098650,0.069386,-0.068190,9.819290
115,2.014191,-1.586938,1.098650,0.069386,-0.068190,9.819290
116,1.586938,-1.586938,0.976577,0.058619,-0.061012,9.814505
117,1.586938,-1.586938,0.976577,0.058619,-0.061012,9.814505
118,1.403830,-1.403830,0.854505,0.075367,-0.096901,9.808524
119,1.403830,-1.281758,0.915541,0.072975,-0.142361,9.791775
120,0.305180,-1.647974,0.671397,0.145949,-0.116042,9.767849
121,0.305180,-0.976577,0.915541,0.136379,-0.104079,9.794168
122,0.305180,-0.976577,0.915541,0.136379,-0.104079,9.794168
123,0.793469,-0.549325,1.586938,0.088527,-0.270365,9.778616
124,0.793469,-0.549325,1.586938,0.088527,-0.270365,9.778616
125,1.770047,-0.366217,1.525902,0.096901,-0.217728,9.798953
126,1.770047,-0.366217,1.525902,0.096901,-0.217728,9.798953
127,2.380407,-0.244144,1.831083,0.120827,-0.196194,9.804935
128,2.319371,0.976577,1.892119,0.090919,-0.022730,9.820487
129,1.647974,1.037613,1.647974,0.125612,-0.023926,9.760671
130,0.305180,0.488289,0.366217,0.040674,-0.110060,9.786990
131,0.305180,0.488289,0.366217,0.040674,-0.110060,9.786990
132,0.732433,0.366217,0.549325,0.074171,-0.138772,9.810916
133,0.732433,0.366217,0.549325,0.074171,-0.138772,9.810916
134,1.159686,0.549325,0.732433,0.101686,-0.113649,9.758279
135,1.159686,0.549325,0.732433,0.101686,-0.113649,9.758279
136,1.403830,0.793469,0.854505,0.081349,-0.080153,9.767849
137,1.403830,0.793469,0.854505,0.081349,-0.080153,9.767849
138,1.586938,1.098650,0.854505,0.052638,-0.076564,9.778616
139,1.586938,1.098650,0.854505,0.052638,-0.076564,9.778616
140,0.183108,15.869383,-0.122072,0.197391,0.094508,9.739138
141,0.183108,15.869383,-0.122072,0.197391,0.094508,9.739138
142,0.244144,17.395285,-0.122072,0.229691,0.157913,9.775027
143,0.244144,17.395285,-0.122072,0.229691,0.157913,9.775027
144,0.122072,19.104295,0.000000,0.251225,0.128005,9.804935
145,0.122072,19.104295,0.000000,0.251225,0.128005,9.804935
146,-0.183108,21.057450,-0.061036,0.275151,0.155520,9.766653
147,-0.183108,21.057450,-0.061036,0.275151,0.155520,9.766653
148,-0.549325,23.193713,-0.122072,0.242850,0.263188,9.620703
149,-1.892119,47.241932,-0.732433,0.934316,-0.361285,9.558495
150,-68.970779,316.227970,-61.097124,-3.733675,0.265580,10.038215
151,-68.970779,316.227970,-61.097124,-3.733675,0.265580,10.038215
152,-73.121233,314.702068,-65.369650,-3.977722,0.284721,10.193735
153,-73.121233,314.702068,-65.369650,-3.977722,0.284721,10.193735
154,-77.454795,312.260624,-70.923934,-4.435908,0.141164,10.537075
155,-77.454795,312.260624,-70.923934,-4.435908,0.141164,10.537075
156,-80.567636,309.025711,-77.698940,-4.572287,0.677110,11.636481
157,-80.567636,309.025711,-77.698940,-4.572287,0.677110,11.636481
158,-80.445563,303.410391,-80.750744,-4.751733,1.222626,12.597116
159,-80.445563,303.410391,-80.750744,-4.751733,1.222626,12.597116
160,87.769894,-179.385061,11.779965,-0.964224,-1.971514,9.286934
161,97.596704,-179.690242,11.779965,-0.776403,-1.690382,8.945986
162,97.596704,-179.690242,11.779965,-0.776403,-1.690382,8.945986
163,104.798962,-178.347448,11.474784,-0.641221,-1.326705,8.809607
164,104.798962,-178.347448,11.474784,-0.641221,-1.326705,8.809607
165,110.475319,-176.516365,10.925460,-0.635239,-1.007291,8.575131
166,110.475319,-176.516365,10.925460,-0.635239,-1.007291,8.575131
167,113.160906,-174.319066,10.070954,-0.709410,-0.643613,8.599057
168,113.160906,-174.319066,10.070954,-0.709410,-0.643613,8.599057
169,76.295109,-178.774701,1.831083,-1.671241,0.474934,9.679323
170,19.165332,-168.764782,62.928206,-1.370968,-1.787283,5.129766
171,19.165332,-168.764782,62.928206,-1.370968,-1.787283,5.129766
172,12.268254,-160.830091,56.702525,-1.520507,-1.677223,5.370224
173,7.202258,-153.871977,52.063783,-1.772927,-1.536059,5.609485
174,7.202258,-153.871977,52.063783,-1.772927,-1.536059,5.609485
175,3.540093,-148.195621,49.134051,-1.964337,-1.364987,5.834391
176,3.540093,-148.195621,49.134051,-1.964337,-1.364987,5.834391
177,0.732433,-143.434806,47.974365,-2.155746,-1.217841,6.006659
178,0.732433,-143.434806,47.974365,-2.155746,-1.217841,6.006659
179,-1.953155,-139.223316,48.401617,-2.234702,-1.137688,6.133468
180,-62.623026,142.030976,-57.923247,-4.214591,-1.043180,9.149358
181,-22.888533,178.896773,-51.453422,-6.262669,-0.320610,14.568631
182,-22.888533,178.896773,-51.453422,-6.262669,-0.320610,14.568631
183,10.315099,190.371557,-53.101396,-10.716521,2.286143,19.599701
184,10.315099,190.371557,-53.101396,-10.716521,2.286143,19.599701
185,-0.915541,167.544060,-52.735180,-14.464552,3.542266,19.599701
186,-0.915541,167.544060,-52.735180,-14.464552,3.542266,19.599701
