Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,-0.732433,-0.30518,0.0,-0.009766,0.013062,0.9959870000000001
4,-0.671397,-0.6103609999999999,-0.183108,-0.005737,0.0094,1.000748
8,-0.732433,-0.6103609999999999,0.0,-0.01001,0.011231,1.006729
12,-0.793469,-0.366217,-0.122072,0.000366,0.013184,0.996353
16,-0.122072,-0.183108,-0.183108,-0.005615,0.015015,1.002945
20,-0.30518,-0.366217,-0.183108,-0.0015869999999999999,0.0177,0.995132
24,-0.427253,-0.48828900000000003,-0.183108,-0.0074459999999999995,0.015747,0.993179
28,-0.854505,-0.427253,0.0,-0.010131999999999999,0.009888,0.9903719999999999
32,-0.366217,-0.48828900000000003,0.0,-0.001831,0.010742,0.997574
36,-0.427253,-0.732433,-0.122072,-0.014038,0.015625,1.001358
40,-0.427253,-0.6103609999999999,-0.122072,-0.004517,0.017456,0.988785
44,-0.427253,-0.30518,0.0,-0.0008550000000000001,0.009766,1.003067
48,0.366217,-0.122072,0.122072,-0.002686,0.011597,0.9935450000000001
52,1.953155,-0.30518,0.122072,-0.001221,0.018677000000000003,1.009903
56,1.953155,-0.30518,0.0,-0.009522,0.023316,1.006241
60,2.380407,-0.732433,0.244144,-0.012206999999999999,0.01648,1.017105
64,3.967346,-0.6103609999999999,-0.244144,-0.005737,0.025147,1.0046540000000002
68,3.845274,-1.40383,-0.366217,0.000366,0.029175,0.982193
72,1.525902,-2.197299,-0.732433,0.007201999999999999,0.029907999999999997,0.988052
76,2.50248,-0.427253,-0.30518,0.0051270000000000005,0.031617,1.009293
80,2.075227,-0.366217,0.0,-0.0063479999999999995,0.034668,0.977676
84,0.427253,-0.854505,0.48828900000000003,-0.0043950000000000005,0.033082,0.9953770000000001
88,-0.061036,-1.8921189999999999,0.244144,-0.0043950000000000005,0.027587999999999998,0.9902489999999999
92,-0.061036,-1.281758,0.854505,0.001465,0.044556,0.9911040000000001
96,-2.80766,-1.464866,1.09865,0.002686,0.033448,1.00734
100,7.385367,0.183108,1.09865,-0.006104,0.022216999999999997,1.0057530000000001
104,-2.2583349999999998,1.342794,0.30518,0.032837,0.050538,1.01857
108,0.671397,4.699779,0.9155409999999999,-0.014159999999999999,0.04065,0.995865
112,-4.699779,3.479057,-0.6103609999999999,0.005493,0.047363999999999996,0.991958
116,-5.981537,7.324331,0.122072,-0.014405000000000001,0.04712,0.98024
120,-5.61532,3.479057,-0.183108,-0.034546,0.02417,0.9817040000000001
124,-10.925460000000001,0.732433,-0.366217,-0.010986,0.018189,1.010636
128,-5.61532,2.929732,0.732433,-0.029297000000000004,0.011475,1.013321
132,-8.484016,-1.525902,0.48828900000000003,-0.029541,0.008423,0.996109
136,-6.103609,-4.333562000000001,-0.244144,-0.013672,0.011353,1.000626
140,-5.249104,-2.4414439999999997,0.793469,-0.0177,-0.000488,0.996597
144,-6.591897,-5.371176,1.037613,-0.018433,-0.018311,0.9865870000000001
148,-6.469825,-8.850233,0.854505,-0.036622,0.031738999999999996,0.924208
152,-25.940337,-11.413748,3.6011290000000002,0.030762,0.008789,1.022965
156,-21.545739,-6.469825,5.7984279999999995,0.022216999999999997,-0.024903,1.016861
160,-35.400931,-4.272526,4.699779,-0.021241,0.030151999999999998,0.9948879999999999
164,-37.232013,-1.2207219999999999,0.30518,0.019532,-0.12268299999999999,0.984878
168,-64.51514499999999,-13.916228,-21.240558,0.07849199999999999,-0.163577,0.991714
172,-75.074388,0.244144,-11.413748,0.034302,-0.10486,1.059831
176,-151.430533,3.295949,4.150454,-0.01648,-0.12487999999999999,0.980606
180,-557.076371,7.446403,21.545739,0.000732,0.374762,1.591821
184,-398.992905,-26.306554,47.669184,-1.641382,-1.207782,1.9999689999999999
188,-51.697565999999995,-78.370336,41.321431,0.326421,0.799084,0.42468900000000004
192,62.623026,-3.6621650000000003,-61.46334,-0.107301,0.466926,0.820081
196,154.970626,-25.085832,-48.462654,-0.24170300000000003,0.435187,0.968032
200,224.734875,24.475471,-32.104982,-0.393439,0.164553,0.960098
204,236.758984,40.283818,-1.342794,-0.16736099999999998,-0.094362,0.694347
