Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,-0.549325,0.122072,0.061036,0.002075,-0.005371,0.999893
1,-0.610361,0.183108,0.000000,-0.000244,0.003906,0.996231
2,-0.549325,0.122072,0.061036,0.002808,-0.002441,0.998062
3,-0.793469,0.061036,0.122072,-0.005982,0.001709,0.994766
4,-1.220722,-0.061036,0.061036,-0.002808,-0.002197,1.003433
5,-0.671397,-0.244144,0.000000,0.002075,-0.002808,1.003189
6,-0.854505,-0.061036,0.061036,-0.001343,-0.004639,0.996353
7,-0.610361,-0.061036,0.061036,-0.002319,-0.001831,0.998795
8,-0.427253,0.122072,0.061036,0.008545,0.002441,0.998306
9,-0.732433,0.000000,0.061036,0.000122,0.000610,0.999893
10,-0.488289,0.061036,0.061036,-0.005859,0.000244,0.995010
11,-0.793469,0.061036,0.122072,0.000366,-0.000977,0.998428
12,-0.793469,0.061036,0.122072,0.000000,-0.002319,1.002701
13,-0.732433,-0.061036,0.061036,-0.000855,-0.001465,0.998917
14,-0.671397,0.122072,0.061036,-0.002319,-0.003784,0.996597
15,-0.183108,-0.427253,0.000000,0.010986,0.008667,1.000137
16,-1.159686,0.427253,-0.122072,-0.005127,0.003784,0.998550
17,-0.549325,-0.366217,0.122072,0.011719,-0.006348,1.014176
18,0.000000,0.671397,0.000000,-0.014038,0.004150,0.988174
19,-1.525902,-0.427253,0.122072,0.011109,-0.000244,1.005264
20,-0.427253,0.488289,0.000000,-0.007080,0.003662,0.992569
21,-1.220722,0.000000,0.061036,-0.000610,-0.006470,0.997208
22,-0.793469,0.061036,0.000000,-0.000488,0.002930,1.001480
23,-0.976577,0.000000,0.061036,0.006592,-0.004395,1.004654
24,-0.854505,0.305180,0.061036,0.000610,-0.000244,0.997574
25,-0.793469,0.244144,0.122072,-0.002319,0.000977,0.991714
26,-0.915541,0.122072,0.061036,-0.002441,0.000977,1.001480
