Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,-0.122072,-0.061036,0.000000,-0.006836,0.001465,1.000015
1,-0.061036,-0.122072,0.000000,0.002075,-0.002075,0.997208
2,-0.061036,-0.183108,0.000000,-0.002686,-0.001465,1.004532
3,-0.061036,-0.305180,-0.122072,0.001343,-0.004761,0.998917
4,0.000000,-0.244144,0.000000,-0.000610,-0.004761,0.998306
5,0.000000,-0.305180,-0.122072,-0.002197,0.001099,0.993301
6,-0.610361,-0.366217,-0.122072,-0.000244,-0.005493,1.000626
7,-0.366217,-0.488289,-0.122072,0.004883,-0.001831,0.998184
8,-1.098650,-0.366217,0.000000,-0.003296,-0.000244,0.993912
9,-0.915541,-0.488289,0.061036,0.000977,-0.005982,1.011246
10,-0.366217,-0.183108,0.000000,-0.001709,-0.001831,1.004776
11,-0.671397,-0.244144,0.000000,0.003052,-0.008789,0.994278
12,-0.122072,-0.366217,-0.183108,-0.000732,-0.006714,0.999771
13,-0.366217,-0.183108,0.000000,-0.004517,-0.006592,0.998062
14,-0.061036,-0.183108,0.000000,0.002075,-0.003662,1.005631
15,-0.305180,-0.366217,-0.122072,0.000366,-0.000610,0.995132
16,-0.122072,-0.305180,-0.122072,-0.001953,-0.006714,0.999405
17,0.000000,-0.183108,-0.183108,-0.001953,-0.005005,0.999527
18,-0.244144,-0.244144,-0.122072,-0.001831,-0.007324,1.007584
19,0.000000,-0.122072,0.000000,0.001587,-0.007568,1.003677
20,-0.305180,-0.183108,-0.122072,0.001587,-0.006714,1.007340
21,-0.183108,-0.305180,0.000000,0.004761,-0.002808,0.996231
22,-0.427253,-0.244144,-0.122072,-0.000732,0.000732,0.995743
23,-0.610361,-0.183108,-0.122072,0.004028,-0.005737,1.005509
24,-0.366217,-0.183108,-0.183108,-0.003296,-0.003662,1.002823
25,-0.305180,-0.183108,-0.122072,-0.003906,-0.005371,1.002335
26,-0.366217,-0.305180,-0.122072,0.001343,-0.002808,1.001846
27,-0.488289,-0.305180,-0.122072,-0.001099,-0.007202,1.003799
28,0.061036,-0.183108,-0.122072,-0.003174,-0.000732,1.010758
29,-0.122072,-0.305180,-0.122072,0.002075,-0.003662,1.000626
30,0.000000,-0.244144,0.000000,-0.001587,-0.002319,1.001968
31,-0.061036,-0.305180,-0.183108,-0.003906,0.001587,0.997208
32,-0.488289,-0.366217,-0.122072,-0.000488,-0.001831,1.002579
33,-0.122072,-0.366217,-0.244144,-0.003906,-0.002564,0.994156
34,-0.305180,-0.366217,-0.122072,-0.002441,-0.002686,0.989395
35,-0.427253,-0.366217,-0.122072,0.002075,-0.005249,0.994522
36,-0.854505,-0.305180,-0.183108,-0.000732,-0.002808,0.999405
37,-0.549325,-0.366217,-0.122072,0.002686,-0.001343,0.997208
38,-0.915541,-0.244144,0.000000,-0.001587,-0.011353,0.997330
39,-0.488289,-0.305180,-0.122072,0.006348,-0.002564,1.005875
40,-0.549325,-0.183108,0.000000,0.002441,-0.005249,1.006729
41,-0.427253,-0.183108,0.000000,0.005005,-0.005737,1.008316
42,0.000000,0.000000,-0.122072,-0.000977,-0.003052,1.003922
43,-0.122072,-0.183108,0.000000,0.005982,-0.004150,0.998550
44,0.000000,-0.122072,0.000000,0.001465,-0.008179,1.005264
45,-0.183108,-0.061036,-0.183108,0.000732,-0.003906,0.999405
46,-0.061036,-0.122072,-0.122072,-0.003174,-0.007324,1.002945
47,-0.061036,-0.122072,-0.122072,-0.002686,0.001831,0.997574
48,-0.061036,-0.122072,0.000000,-0.001587,-0.008057,0.995010
49,-0.244144,-0.244144,-0.183108,-0.003906,-0.002686,0.997818
