Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
76,-1.40383000,-1.40383000,-0.24414400,0.02751500,-0.08134900,1.00209051
77,-1.22072200,-1.46486600,-0.18310800,0.02153400,-0.07895600,0.99708551
78,-1.22072200,-1.46486600,-0.18310800,0.02153400,-0.07895600,0.99708551
79,-1.03761300,-1.40383000,-0.06103600,0.04546000,-0.07177800,0.99659724
80,1.52590200,0.30518000,0.79346900,0.04665600,-0.07297500,0.99806214
81,1.64797400,0.24414400,0.85450500,0.05144100,-0.04665600,1.00135806
82,1.46486600,0.30518000,0.85450500,0.05742300,-0.00239300,1.00270082
83,1.46486600,0.30518000,0.85450500,0.05742300,-0.00239300,1.00270082
84,1.15968600,0.36621700,0.85450500,0.06101200,-0.01674800,1.00343327
85,1.15968600,0.36621700,0.85450500,0.06101200,-0.01674800,1.00343327
86,0.85450500,0.36621700,0.85450500,0.06101200,-0.02392600,1.00306704
87,0.85450500,0.36621700,0.85450500,0.06101200,-0.02392600,1.00306704
88,0.73243300,0.36621700,0.73243300,0.07058200,-0.03947800,1.00099184
89,-0.06103600,0.00000000,0.12207200,0.05622600,0.03947800,1.00135806
90,-0.79346900,0.24414400,-0.36621700,0.08493800,0.02273000,0.99769592
91,-0.79346900,0.24414400,-0.36621700,0.08493800,0.02273000,0.99769592
92,-1.15968600,0.36621700,-0.48828900,0.07177800,0.02631900,0.99928286
93,-1.15968600,0.36621700,-0.48828900,0.07177800,0.02631900,0.99928286
94,-1.40383000,0.54932500,-0.54932500,0.07177800,0.00000000,1.00001531
95,-1.40383000,0.54932500,-0.54932500,0.07177800,0.00000000,1.00001531
96,-1.70901000,0.61036100,-0.61036100,0.05622600,-0.04306700,0.99769592
97,-1.70901000,0.61036100,-0.61036100,0.05622600,-0.04306700,0.99769592
98,-1.95315500,0.73243300,-0.67139700,0.02153400,-0.05622600,0.99879449
99,-1.95315500,0.73243300,-0.67139700,0.02153400,-0.05622600,0.99879449
100,-1.03761300,-0.24414400,-0.42725300,0.02392600,-0.00358900,1.00209051
101,-1.03761300,-0.24414400,-0.42725300,0.02392600,-0.00358900,1.00209051
102,-1.03761300,-0.48828900,-0.61036100,0.04546000,0.01794500,1.00013735
103,-1.03761300,-0.48828900,-0.61036100,0.04546000,0.01794500,1.00013735
104,-1.34279400,-0.67139700,-0.79346900,0.03230000,-0.00478500,0.99623102
105,-1.34279400,-0.67139700,-0.79346900,0.03230000,-0.00478500,0.99623102
106,-1.95315500,-0.67139700,-0.91554100,0.03588900,-0.02273000,0.99696347
107,-1.95315500,-0.67139700,-0.91554100,0.03588900,-0.02273000,0.99696347
108,-2.44144400,-0.61036100,-1.09865000,0.01076700,-0.05263800,0.99940490
109,-1.77004700,-1.15968600,-0.73243300,0.04904900,-0.14355700,0.99977112
110,2.31937100,-1.40383000,1.15968600,0.02512200,-0.08374200,1.00367745
111,2.31937100,-1.40383000,1.15968600,0.02512200,-0.08374200,1.00367745
112,2.38040700,-1.58693800,1.15968600,0.05742300,-0.05503000,1.00086980
113,2.38040700,-1.58693800,1.15968600,0.05742300,-0.05503000,1.00086980
114,2.01419100,-1.58693800,1.09865000,0.06938600,-0.06819000,1.00196837
115,2.01419100,-1.58693800,1.09865000,0.06938600,-0.06819000,1.00196837
116,1.58693800,-1.58693800,0.97657700,0.05861900,-0.06101200,1.00148010
117,1.58693800,-1.58693800,0.97657700,0.05861900,-0.06101200,1.00148010
